"","X","date","PL","plr"
"332",332,2008-08-08,0,0
"333",333,2008-08-11,0,0
"334",334,2008-08-12,132696.086532912,0
"335",335,2008-08-13,0,0
"336",336,2008-08-14,0,0
"337",337,2008-08-15,0,0
"338",338,2008-08-18,0,0
"339",339,2008-08-19,-125301.026705994,0
"340",340,2008-08-20,0,0
"341",341,2008-08-21,0,0
"342",342,2008-08-22,0,0
"343",343,2008-08-25,0,0
"344",344,2008-08-26,125774.9414392,0
"345",345,2008-08-27,0,0
"346",346,2008-08-28,0,0
"347",347,2008-08-29,0,0
"348",348,2008-09-02,-329856.116079998,0
"349",349,2008-09-03,0,0
"350",350,2008-09-04,0,0
"351",351,2008-09-05,0,0
"352",352,2008-09-08,0,0
"353",353,2008-09-09,-38475.709614052,0
"354",354,2008-09-10,0,0
"355",355,2008-09-11,0,0
"356",356,2008-09-12,0,0
"357",357,2008-09-15,0,0
"358",358,2008-09-16,20146.471783268,0
"359",359,2008-09-17,0,0
"360",360,2008-09-18,0,0
"361",361,2008-09-19,0,0
"362",362,2008-09-22,0,0
"363",363,2008-09-23,-146150.8675,0
"364",364,2008-09-24,0,0
"365",365,2008-09-25,0,0
"366",366,2008-09-26,0,0
"367",367,2008-09-29,0,0
"368",368,2008-09-30,504161.952217812,0
"369",369,2008-10-01,0,0
"370",370,2008-10-02,0,0
"371",371,2008-10-03,0,0
"372",372,2008-10-06,0,0
"373",373,2008-10-07,-782932.022347464,0
"374",374,2008-10-08,0,0
"375",375,2008-10-09,0,0
"376",376,2008-10-10,0,0
"377",377,2008-10-13,0,0
"378",378,2008-10-14,-48150.9314158561,0
"379",379,2008-10-15,0,0
"380",380,2008-10-16,0,0
"381",381,2008-10-17,0,0
"382",382,2008-10-20,0,0
"383",383,2008-10-21,-369764.94914804,0
"384",384,2008-10-22,0,0
"385",385,2008-10-23,0,0
"386",386,2008-10-24,0,0
"387",387,2008-10-28,985661.718608128,0
"388",388,2008-10-29,0,0
"389",389,2008-10-30,0,0
"390",390,2008-10-31,0,0
"391",391,2008-11-03,0,0
"392",392,2008-11-04,945039.953443364,0
"393",393,2008-11-05,0,0
"394",394,2008-11-06,0,0
"395",395,2008-11-07,0,0
"396",396,2008-11-10,0,0
"397",397,2008-11-11,-101866.882895164,0
"398",398,2008-11-12,0,0
"399",399,2008-11-13,0,0
"400",400,2008-11-14,0,0
"401",401,2008-11-17,0,0
"402",402,2008-11-18,180743.63214,0
"403",403,2008-11-19,0,0
"404",404,2008-11-20,0,0
"405",405,2008-11-21,0,0
